open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754179200000,112508.80,112529.50,112466.70,112500.40,57.355,1754179259999,6452556.77140,1676,30.173,3394376.09980,0
1754179260000,112500.40,112681.40,112500.40,112670.40,159.609,1754179319999,17974949.21810,3536,120.466,13565449.93960,0
1754179320000,112670.00,112670.00,112571.40,112577.30,69.361,1754179379999,7810575.36970,2296,26.397,2972075.33510,0
1754179380000,112577.30,112599.10,112534.60,112599.10,54.356,1754179439999,6118365.31850,2196,26.675,3002498.99390,0
1754179440000,112599.10,112610.00,112572.40,112608.10,66.231,1754179499999,7457438.69010,1726,37.369,4207711.71740,0
1754179500000,112608.20,112626.60,112537.30,112537.40,22.945,1754179559999,2583285.07640,1314,9.828,1106554.90090,0
1754179560000,112537.40,112584.50,112537.40,112570.50,39.526,1754179619999,4448842.28700,1697,29.027,3267017.26190,0
1754179620000,112570.50,112611.30,112570.50,112610.70,33.539,1754179679999,3776158.82920,1524,16.039,1805744.69150,0
1754179680000,112610.60,112610.70,112576.30,112587.10,21.655,1754179739999,2438161.24650,1101,11.176,1258265.45060,0
1754179740000,112587.00,112615.00,112587.00,112613.50,17.271,1754179799999,1944804.13180,801,11.109,1250880.60330,0
1754179800000,112613.60,112630.30,112600.00,112613.70,29.207,1754179859999,3289156.04790,1074,10.319,1162038.54420,0
1754179860000,112613.70,112613.70,112526.70,112581.90,45.360,1754179919999,5105498.93270,1530,28.948,3257912.74590,0
1754179920000,112582.00,112602.60,112564.70,112585.60,53.847,1754179979999,6062627.56120,1383,41.877,4714866.15190,0
1754179980000,112585.70,112620.00,112580.60,112619.90,16.948,1754180039999,1908394.56070,1150,11.033,1242337.97970,0
1754180040000,112620.00,112640.00,112609.00,112622.20,32.548,1754180099999,3665888.02100,1381,9.511,1071190.45990,0
1754180100000,112622.30,112657.20,112594.10,112657.20,50.646,1754180159999,5704270.67830,1503,42.337,4768515.00860,0
1754180160000,112657.10,112738.00,112657.10,112708.90,60.223,1754180219999,6787010.26250,2092,42.676,4809252.08820,0
1754180220000,112708.80,112738.00,112652.80,112737.90,26.068,1754180279999,2937900.90630,1480,17.329,1953055.30920,0
1754180280000,112738.00,112751.50,112717.70,112743.30,68.514,1754180339999,7723846.43930,1696,17.000,1916566.54690,0
1754180340000,112743.30,112745.30,112711.40,112719.00,29.104,1754180399999,3280819.86270,1126,14.644,1650783.68880,0
1754180400000,112719.00,112722.80,112613.00,112615.00,19.791,1754180459999,2229824.09380,1542,3.123,351855.21770,0
1754180460000,112615.10,112615.10,112529.70,112529.70,52.811,1754180519999,5944760.47380,1856,18.121,2039716.76080,0
1754180520000,112529.80,112556.50,112461.50,112461.60,99.709,1754180579999,11218503.31330,2317,43.375,4880370.99850,0
1754180580000,112461.50,112483.00,112384.60,112384.70,210.477,1754180639999,23667481.98410,3176,139.571,15694704.37090,0
1754180640000,112384.60,112400.00,112302.30,112309.20,179.354,1754180699999,20151800.25370,3175,55.757,6264498.70550,0
1754180700000,112309.20,112406.90,112309.20,112380.30,97.532,1754180759999,10961164.73020,2572,47.977,5391486.23830,0
1754180760000,112380.30,112380.30,112301.20,112301.20,30.729,1754180819999,3452247.90350,1220,6.139,689713.57730,0
1754180820000,112301.30,112322.60,112248.50,112313.50,184.456,1754180879999,20709398.06830,2880,92.293,10362165.63710,0
1754180880000,112313.40,112386.90,112303.60,112357.40,70.786,1754180939999,7953355.85330,1619,39.227,4407232.50130,0
1754180940000,112357.40,112357.50,112299.90,112330.00,80.605,1754180999999,9053558.86240,1545,40.500,4548705.79380,0
1754181000000,112330.00,112330.00,112246.60,112258.10,78.041,1754181059999,8762658.10110,2185,27.356,3071225.08770,0
1754181060000,112258.00,112258.10,112180.10,112188.10,135.376,1754181119999,15190065.11740,3002,39.643,4448070.75690,0
1754181120000,112188.00,112299.90,112188.00,112200.00,146.781,1754181179999,16474885.91090,2810,96.236,10801623.78200,0
1754181180000,112200.00,112300.00,112199.90,112230.50,84.895,1754181239999,9531108.06230,2129,49.158,5518267.57680,0
1754181240000,112230.50,112238.70,112190.00,112190.00,77.752,1754181299999,8725130.71040,1842,36.505,4096530.37960,0
1754181300000,112190.00,112257.90,112190.00,112257.80,89.214,1754181359999,10010477.18580,1641,66.278,7436908.88000,0
1754181360000,112257.90,112257.90,112190.10,112210.60,107.959,1754181419999,12115700.93420,2208,46.415,5208790.48660,0
1754181420000,112210.60,112210.60,111850.00,111906.50,1061.925,1754181479999,118902093.63960,16371,235.986,26423942.05840,0
1754181480000,111906.50,112307.50,111866.00,112307.50,506.087,1754181539999,56746850.65980,11846,305.505,34255672.55850,0
1754181540000,112307.40,112392.00,112128.60,112291.20,463.970,1754181599999,52100630.52820,9724,201.846,22667410.85340,0
1754181600000,112291.20,112299.90,112134.20,112224.90,257.998,1754181659999,28948282.93150,5481,171.914,19287142.24780,0
1754181660000,112224.30,112318.20,112144.00,112318.20,114.381,1754181719999,12835751.57720,3858,57.432,6445804.06180,0
1754181720000,112318.20,112432.00,112301.20,112427.70,158.554,1754181779999,17815381.99170,4871,95.946,10781402.40510,0
1754181780000,112427.70,112614.70,112416.40,112614.70,358.981,1754181839999,40394495.63340,6979,246.535,27740272.97330,0
1754181840000,112614.70,112650.00,112553.60,112589.00,214.672,1754181899999,24176285.69420,4111,99.412,11195608.87220,0
1754181900000,112589.00,112652.60,112548.60,112570.50,127.053,1754181959999,14307174.33720,3548,61.638,6940607.49150,0
1754181960000,112570.60,112695.80,112560.80,112695.80,127.719,1754182019999,14389409.76410,3342,68.754,7746133.48020,0
1754182020000,112695.70,112709.00,112634.20,112680.00,129.036,1754182079999,14539517.63910,3229,48.921,5512009.85460,0
1754182080000,112679.90,112680.00,112639.30,112661.00,63.672,1754182139999,7173623.57280,1944,23.904,2693109.22790,0
1754182140000,112661.00,112717.10,112661.00,112717.10,67.034,1754182199999,7554142.40620,1991,39.271,4425398.79310,0
1754182200000,112717.00,112745.10,112686.00,112730.10,103.528,1754182259999,11670110.15940,2141,53.419,6021427.25320,0
1754182260000,112730.20,112818.10,112682.50,112784.10,258.177,1754182319999,29113992.38780,3944,200.889,22654857.92990,0
1754182320000,112784.10,112835.10,112765.10,112835.00,101.394,1754182379999,11437214.66160,2786,54.601,6158747.82980,0
